OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
109,13,087,13087,Decatur,Decatur County,27842,N,N,N,N,N,N,N,Southwest Georgia,398763,623.0670166,DECATUR,{FF2DFAA5-67FF-42B1-979F-51CC7515DC0F},10,17370110265.9861,586196.646669318
110,13,187,13187,Lumpkin,Lumpkin County,29966,N,N,N,N,N,N,N,Georgia Mountains,181850,284.14099121,LUMPKIN,{D12A86E2-69BF-46F8-AAFF-519B92C808B0},2,7921398113.41456,448163.036682201
111,13,047,13047,Catoosa,Catoosa County,63942,N,N,N,N,N,N,N,Northwest Georgia,103974,162.45899963,CATOOSA,{633200AA-0748-4ED4-BC90-1FFF0337287B},1,4529099075.17744,330670.284772913
112,13,031,13031,Bulloch,Bulloch County,70217,N,N,N,N,N,N,N,Coastal Regional Commission,441197,689.37097168,BULLOCH,{5CFE37C0-CC59-410B-984E-425F2ADCE59D},12,19218562797.9555,760296.61810296
113,13,165,13165,Jenkins,Jenkins County,8340,N,N,N,N,N,N,N,Central Savannah River Area,225774,352.77200317,JENKINS,{533801E5-30B7-4F8D-844B-CCA7B97FC3B8},7,9834723168.93969,415828.905449665
114,13,141,13141,Hancock,Hancock County,9429,N,N,N,N,N,N,N,Central Savannah River Area,306383,478.72299194,HANCOCK,{C780F6D6-D03D-401B-961F-941F421473AA},7,13346041390.3086,590167.494393197
115,13,293,13293,Upson,Upson County,27153,N,N,N,N,N,N,N,Three Rivers,209593,327.48901367,UPSON,{AC01E945-D8B9-4A65-81C9-5D7981CB6E88},4,9129873002.20478,485408.066970597
116,13,095,13095,Dougherty,Dougherty County,94565,N,N,N,N,N,N,N,Southwest Georgia,214122,334.56600952,DOUGHERTY,{7E027852-CB83-4163-9093-E07B845D73AE},10,9327163054.11387,470842.210129724
117,13,215,13215,Muscogee,Muscogee County,189885,N,N,N,N,N,N,N,River Valley,141431,220.98599243,MUSCOGEE,{FA2E5E90-DF78-4059-B9F0-393C463D63B7},8,6160740906.65213,434922.622279752
118,13,061,13061,Clay,Clay County,3183,N,N,N,N,N,N,N,River Valley,139024,217.2250061,CLAY,{7598358A-F893-4408-9762-6E3AF3BC9A49},8,6055879003.82035,444332.300374768
119,13,197,13197,Marion,Marion County,8742,N,N,N,N,N,N,N,River Valley,235146,367.41598511,MARION,{2FE1444A-0604-4091-A436-99B24025F20F},8,10242975229.1699,511090.331772707
120,13,097,13097,Douglas,Douglas County,132403,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,128641,201.00100708,DOUGLAS,{3429ADB5-8FED-490F-AFFD-F56DE8AF28B8},3,5603583013.60025,344713.258364994
121,13,077,13077,Coweta,Coweta County,127317,N,N,Y,Y,Y,Y,Y,Three Rivers,285287,445.76098633,COWETA,{A5D715F1-B2A9-4EDB-AFAA-FFC194FC6311},4,12427112377.7226,573913.019591997
122,13,259,13259,Stewart,Stewart County,6058,N,N,N,N,N,N,N,River Valley,296681,463.56500244,STEWART,{337304A8-5C63-41D6-9A8E-245BC66F83BF},8,12923447714.0717,550533.094847855
123,13,149,13149,Heard,Heard County,11834,N,N,N,N,Y,N,N,Three Rivers,192700,301.09298706,HEARD,{A4F8FA00-665E-4449-87E5-61E444760A28},4,8393994820.47243,398976.640704032
124,13,319,13319,Wilkinson,Wilkinson County,9563,N,N,N,N,N,N,N,Middle Georgia,289252,451.95599365,WILKINSON,{5705A98C-D403-4C10-850C-08F8E6D3D1CB},6,12599801917.4509,558741.960306406
125,13,309,13309,Wheeler,Wheeler County,7421,N,N,N,N,N,N,N,Heart of Georgia Altamaha,192221,300.34500122,WHEELER,{2D08C461-BD1B-4DEF-8D12-ACE43EDE812A},9,8373131858.27285,554447.929048043
126,13,191,13191,McIntosh,McIntosh County,14333,N,N,N,N,N,N,N,Coastal Regional Commission,367856,574.77502441,MCINTOSH,{C629F784-D328-46B5-8E5E-B98A2071CF9B},12,16023812599.2656,643234.255644381
127,13,321,13321,Worth,Worth County,21679,N,N,N,N,N,N,N,Southwest Georgia,367777,574.65197754,WORTH,{D6CF35B2-3C1E-4ACD-898E-DE3D7D7E011D},10,16020385832.8093,674267.378514917
128,13,035,13035,Butts,Butts County,23655,N,N,N,N,Y,N,N,Three Rivers,120323,188.00500488,BUTTS,{BC658D13-5EB1-42E5-B457-F24A504FCDD0},4,5241275816.91171,399950.158705277
129,13,159,13159,Jasper,Jasper County,13900,N,N,N,N,Y,N,N,Northeast Georgia,238981,373.40701294,JASPER,{2927FA68-4F29-4DCC-B55C-7FE229551690},5,10409998562.4133,475302.262546147
130,13,193,13193,Macon,Macon County,14740,N,N,N,N,N,N,N,River Valley,259783,405.91101074,MACON,{87504DF1-CF95-4BDD-A0A3-38044DEA4314},8,11316155466.7757,571441.722768848
